ID,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
168,6.09,5.39,5.78,6.17,5.48,5.93
169,5.94,5.54,5.68,5.95,5.25,6.02
170,5.97,5.33,5.89,6.46,5.81,6.4
171,6.22,5.52,5.64,6.26,5.79,6.15
172,6.17,5.46,5.76,6.15,5.7,5.91
173,6.09,5.73,5.59,6.29,6.05,5.83
174,5.91,5.67,5.62,6.47,6.12,5.97
175,6.09,5.19,6.02,5.73,5.62,6.48
176,6.12,5.6,5.7,5.91,5.48,6
177,5.99,5.28,5.66,6.37,5.74,5.84
178,5.47,5.23,5.61,6.15,5.72,5.76
179,6.27,5.76,5.63,6.28,5.73,5.81
181,6.19,5.21,5.63,6.18,5.73,6.11
182,6.22,5.62,5.64,6.01,5.67,5.79
184,6.3,5.29,5.7,6.41,5.86,6.35
185,6.35,6.01,5.71,6.91,6.11,5.9
186,6.66,6.26,5.77,6.48,6.82,6.53
187,6.45,6.24,5.58,6.53,6.4,6.16
188,5.94,5.49,5.68,6.05,5.73,5.82
189,6.03,5.67,5.79,6.31,5.92,6.12
190,6.13,5.66,5.72,6.15,5.77,5.83
191,6.22,5.83,5.86,6.43,6.3,6.24
192,6.16,5.65,5.72,6.18,5.81,5.86
193,6.13,5.61,5.72,6.27,5.81,5.98
195,6.17,5.51,5.73,6.75,6.51,6.67
196,6.19,5.76,5.84,6.33,5.89,5.99
197,7.04,5.37,5.69,6.98,5.82,6.02
198,6.5,5.73,5.75,6.89,6.95,6.88
199,6.54,5.81,5.68,6.73,6.38,6.23
200,6.56,5.46,5.65,6.55,6.1,6.29
201,6.5,6.15,6.1,6.78,7.05,6.97
202,6.77,5.9,5.66,6.76,5.73,5.88
203,6.14,5.72,5.66,6.58,6.44,6.51
204,6.2,5.82,5.7,6.43,6.63,6.48
205,6.19,5.95,5.84,6.88,6.25,6.07
206,6.2,6.03,5.61,6.6,6.25,5.84
208,6.09,5.71,5.7,6,5.8,5.7
209,6.2,5.88,5.86,6.58,6.34,6.48
210,6.33,6.07,6.17,6.79,6.58,6.63
211,6.25,5.71,6.02,6.49,5.89,6.22
212,6.19,5.41,5.79,6.38,5.73,5.92
213,6.33,5.58,5.86,6.65,6.33,6.38
214,6.24,5.52,5.86,6.58,6.03,6.25
215,6.31,5.86,5.85,6.49,5.81,5.95
216,6.25,5.66,5.75,6.67,6.28,6.44
217,6.26,5.78,5.89,6.87,6.61,6.66
218,6.41,6.09,6.28,6.5,6.25,6.34
220,6.72,5.67,5.66,6.58,5.44,5.89
228,6.32,5.45667,5.50667,5.98333,5.63333,5.85667
229,6.00333,5.61667,5.66667,6.23333,5.66,5.71
230,6.00333,5.43667,5.68,5.82,5.61,5.61333
231,5.96,5.40333,5.46667,5.40667,5.48333,5.56333
232,6.57333,5.53,5.63667,6.04667,5.52333,5.90333
233,5.43333,5.33667,5.41,5.32333,5.46,5.51
235,5.93333,5.53667,5.51,6.11333,5.77667,5.76
236,5.94,5.48667,5.52667,6.49333,5.59,5.65
237,5.85667,5.50333,5.57667,5.54,5.56333,5.65333
238,5.78,5.53,5.58,5.52333,6.11333,5.67
239,6.51667,5.60667,5.58667,6.52333,5.63333,5.62667
240,6.62667,5.60333,5.71,5.56667,5.56667,5.65
241,5.46,5.44333,5.43333,5.48333,5.61667,5.60333
242,5.86333,5.48667,5.58333,5.81,5.7,5.74
245,5.651,5.48,5.53667,5.72,5.57333,5.65667
247,6.16333,5.55667,5.56333,5.39667,5.62,5.66333
248,6.33333,5.63,5.63333,5.78,5.63,5.64
250,6.03667,5.63,5.51,6.05333,5.7,5.67667
252,5.35,5.43667,5.40333,5.33667,5.52667,5.55
253,6.56333,5.36333,5.37,5.77667,5.55,5.51333
255,5.96,5.49,5.44333,5.39,5.47667,5.49333
256,6.45333,5.50667,5.46,5.7,5.54333,5.48
257,5.57,5.56667,5.42333,5.9,5.73667,5.78667
259,6.09,5.47667,5.56333,5.56667,5.57667,5.66
260,5.26667,5.41,5.40333,5.59,5.67333,5.78
262,5.88,5.58333,5.56667,6.32,6.41,6.46333
263,6.18333,5.50667,5.51667,6.20667,6.33,6.4
304,6.34333,5.51667,5.49667,5.8,5.71333,5.77333
305,6.27,5.38,5.45667,6.03333,5.86,5.87
306,6.1,5.49333,5.48667,5.96,5.76,5.84667
307,6.52333,5.55667,5.54,6.56333,6.18667,6.29667
308,6.38667,5.44,5.45667,6.14,5.95333,5.95333
309,6.70667,5.48333,5.59,6.14667,5.91,5.99
310,6.32667,5.51,5.55667,5.94667,5.62,5.66667
311,6.22333,5.58667,5.92333,6.3,6.38667,6.52
312,6.48667,5.47667,5.55667,6.16333,5.61333,5.76667
313,6.50667,5.57,5.63333,6.41,6.43667,6.52333
314,6.41667,5.40333,5.45333,6.34333,5.62333,5.63
315,5.95333,5.40333,5.51,6.01667,5.7,5.82
316,6.63333,5.39,5.53667,6.32333,5.97,6.23
317,6.63333,5.49667,5.55333,6.52333,5.68,5.72667
318,6.25667,5.43333,5.48,6.21,5.49333,5.6
319,6.00333,5.35333,5.42433,6.05667,5.91333,5.94333
320,6.02,5.38333,5.4,5.99667,5.57,5.63
321,6.13667,5.40333,5.497,5.91333,5.49,5.56333
322,6.12667,5.42,5.48667,6.30667,5.81333,6.13
323,5.92667,5.41,5.47667,5.93,5.44,5.52333
324,6.38667,5.42333,5.47,6.07333,5.64333,5.65333
325,6.65333,5.44333,5.51667,6.63667,5.60333,5.66333
326,6.80667,5.47667,5.54,6.55667,5.66,5.83333
327,6.76,5.41,5.50667,6.51333,5.73667,5.76
328,6.61667,5.41667,5.45333,6.4,5.64333,5.69667
329,6.8,5.51333,5.52,6.24333,5.51667,5.56667
330,6.18333,5.44667,5.5,6.21667,5.48,5.56333
331,6.48333,5.43667,5.49,6.18333,5.61333,5.69
332,6.6,5.53333,5.56667,6.59667,5.63,5.79333
333,6.48333,5.43,5.49333,6.57667,5.59667,5.66
384,6.84667,5.64667,5.61667,6.26667,5.48667,5.49333
385,6.67667,5.63,5.53,6.64333,6.20333,6.19867
386,6.88,5.53333,5.41667,6.16667,5.49333,5.47
387,6.71333,5.82667,5.73,6.54333,6.42,6.37
388,5.84667,5.52333,5.51333,6.08,6.26,6.53667
389,5.77,5.49333,5.4,5.91333,5.6,5.50333
390,5.85333,5.49,5.43667,5.86333,5.53667,5.51
391,5.88333,5.65333,5.56167,5.66333,5.81667,5.88667
392,6.04,5.49333,5.46667,5.85,6.07,6.06
393,5.97333,5.88667,5.81,6.31667,6.23,6.24333
394,5.99667,5.73,5.78333,5.92,5.92,6.28
395,6.13667,5.83,5.79333,6.11667,5.84,5.77333
397,5.9,5.56333,5.76333,6.41667,6.51667,6.56
398,6.21667,5.51,5.66,5.98667,5.99667,6.14333
399,6,5.79667,5.8,6.47667,6.65333,6.55
403,6.07333,5.52667,5.4,6.21333,5.7,5.69667
404,5.72,5.72,5.62333,6.26667,6.15333,6.14667
405,5.74867,5.74667,5.63667,6.46667,5.65667,5.59667
406,6.25667,5.66667,5.55267,6.47667,5.92,5.97333
407,6.44333,5.56333,5.32333,5.86667,5.47333,5.42333
408,6.52667,5.56,5.44333,6.1,5.55667,5.62667
409,6.71333,5.72333,5.35,5.81333,5.73,5.68
411,6.45667,5.55333,5.49333,6.09333,6.17333,6.13667
412,6.18333,5.53667,5.45333,5.66,5.56667,5.47333
413,6.40333,5.5,5.47,5.92333,5.78,5.79333
416,6.58,5.56333,5.58667,6.28,5.70333,5.67333
417,6.34,5.91667,5.99,6.41667,6.38667,6.38667
418,6.64333,5.63333,5.48,6.04,5.91333,5.74
419,6.01333,5.47667,5.46667,6.02667,5.98333,5.98
420,6.09667,5.59333,5.41667,6.53667,6.45333,6.37667
422,6.77667,5.53667,5.44667,6.19,5.64333,5.50667
423,6.34,5.54,5.47333,6.06667,6.03667,6.02667
424,6.79,5.53333,5.48,5.91333,5.65,5.58667
425,6.2,5.56333,5.49333,5.93,5.79333,5.71667
426,6.33,5.53667,5.52667,6.10667,5.81333,5.76667
428,6.34,5.58,5.56,6.35,5.64,5.61
429,6.28,5.56,5.55,6.01,5.98,6.01
430,6.39,5.57,5.61,6.25,5.6,5.64
431,6.19,5.49,5.57,6.01,5.9,5.96
432,5.82,5.43,5.5,5.97,5.85,5.88
433,6.34,5.57,5.63,6.25,5.73,5.73
434,6.54,5.61,5.63,6.24,6.14,6.25
435,6.39,5.51,5.53,5.95,5.72,5.71
436,6.72,5.45,5.43,6.61,5.73,5.84
437,5.65,5.48,5.52,6.2,6.28,6.32
439,6.34,5.6,5.59,6.07,5.89,5.91
440,6.49,5.67,5.6,6.38,5.81,5.78
442,6.55,5.53,5.49,6.54,5.54,5.52
452,5.79,5.18333,5.31667,5.53,5.47,5.52
453,6.20667,5.27333,5.29333,5.78,5.45667,5.50333
454,6.15667,5.19667,5.26,5.79,5.37333,5.40667
455,5.59667,5.12333,5.22333,5.59667,5.3,5.37333
456,5.92667,5.08667,5.24,5.37333,5.20333,5.18333
458,6.15667,5.15333,5.24667,5.93333,5.62667,5.59
459,6.05,5.43333,5.28,6.1,5.87667,5.79333
460,6.21667,5.34667,5.41,6.29667,6.08667,6.09
461,6.18,5.81,5.87,6.10333,6.32,6.20333
462,6.18,5.18333,5.18,6.22333,5.24333,5.25333
463,6.32,5.14667,5.13,6.31667,5.47,5.53
464,6.24667,5.24333,5.26,6.05,5.19,5.24333
465,5.73,5.22,5.21667,5.90667,5.81333,5.88333
466,6.33,5.34333,5.40667,5.98667,6.04667,6.11
468,5.79667,5.25,5.28333,5.72333,5.28333,5.31333
469,5.73667,5.1,5.13333,6,5.33667,5.43667
470,6.08333,5.13,5.18,5.83667,5.29,5.35
471,5.84333,5.4,5.38333,5.79,5.89333,5.98667
472,6.59667,5.36333,5.31667,6.30333,6.10667,5.86
473,6.17333,5.14667,5.38333,5.87333,5.29667,5.3
474,5.98333,5.20667,5.20333,5.60333,5.21667,5.23
475,5.90333,5.15,5.21,5.99,5.87667,5.83333
476,6.21333,5.31333,5.18,5.75333,5.51333,5.5
477,6.10333,5.34,5.29333,6.04,5.46667,5.54667
478,6.16,5.39333,5.32667,6.02667,5.96333,6.04667
479,5.89333,5.22333,5.29667,5.81,5.4,5.28667
480,5.97667,5.15333,5.21667,5.81667,5.53667,5.56
481,6.18,5.75667,5.78667,5.96,6.07,6.09667
482,6.49,5.22333,5.18,6.01333,5.42333,5.39667
483,6.52667,5.21333,5.25,6.3,5.44333,5.41
484,6.12,5.39,5.40667,5.88333,5.76,5.66333
485,6.10667,5.20667,5.26667,6.28667,5.42,5.30333
486,6.19667,5.29333,5.26667,5.89,5.31667,5.31
487,5.82333,5.12,5.12333,6.10667,5.45,5.33667
488,6.29667,5.23333,5.24667,5.88333,5.57333,5.59333
489,6.26,5.19,5.14,5.5,5.31333,5.31667
490,6.14667,5.23333,5.18667,5.80333,5.29333,5.29333
491,6.05333,5.28333,5.28667,5.91,5.88,5.68
492,6.55333,5.24667,5.21667,6.25667,5.36667,5.33667
493,6.27333,5.13,5.14333,5.96,5.75,5.70667
494,6.37333,5.55333,5.69,6.08333,6.09,5.99333
496,6.03667,5.11667,5.15667,5.84667,5.39,5.40333
497,6.19333,5.21333,5.14,6.12667,5.48,5.5
499,5.98333,5.14,5.14667,5.69333,5.63333,5.54333
500,6.05333,5.23667,5.37333,6.02,5.66,5.67667
501,6.01,5.23333,5.17333,5.82,5.28,5.21333
502,6.03667,5.15,5.25333,6.20333,5.35333,5.36667
503,6.34,5.20333,5.17333,6.05,5.65333,5.60333
504,5.32,5.21,5.12667,6.31333,5.52333,5.52333
505,6.06667,5.19,5.21667,5.98333,5.46333,5.21667
506,6.21667,5.35,5.35667,6.20333,6.17667,6.09333
507,5.67,5.17667,5.19667,5.69,5.72333,5.59333
508,6.44333,5.65,5.24333,5.83,5.62,5.69333
509,6.30333,5.19,5.21,6.03667,5.61333,5.69667
510,6.19333,5.18667,5.20667,5.94,5.5,5.6
511,6.05333,5.36333,5.33,5.84,5.33667,5.27333
525,6.23667,5.13,5.22333,6.25667,5.46667,5.5
526,6.14333,5.39,5.32333,6.13,5.71667,5.67
527,6.17333,5.31333,5.36333,5.83667,5.56,5.97667
528,5.83,5.24667,5.18,6.19667,6.24,6.29
529,6.07333,5.46333,5.52333,5.82,5.92333,5.91333
532,6.28667,5.39667,5.58333,6.25,6.11667,6.14667
533,5.74667,5.3,5.31667,5.99,6.13667,6.19333
534,5.73,5.56,5.20667,6.00667,5.58667,5.36333
535,5.99333,5.69333,4.99333,6.03,6.02667,5.20667
674,6.26333,5.08667,5.49,6.31667,5.35667,5.77
675,6.39333,5.43333,5.98333,6.5,5.94667,6.48333
676,6.11667,5.49333,5.75333,6.01667,6.44,6.78333
677,6.25,5.34667,5.54667,6.44,6.23333,6.28
678,5.72,5.74,5.7,6.38,5.66667,5.33333
681,6.22333,5.28333,5.48,6.57333,6.61333,6.20667
792,5.99,5.77,5.99,5.81,5.44,5.27
795,6.67,5.83,5.96,6.24,6.12,5.83
796,6.7,5.66,5.79,6.06,6.3,6.17
797,6.44,5.6,5.98,6.25,5.94,5.75
798,6.37,5.64,6.1,6.01,6.16,5.96
799,6.68,5.79,6.07,6.05,5.76,5.74
800,6.02,5.87,6.17,5.77,5.72,5.58
801,6.74,5.7,5.98,5.51,5.55,5.69
802,6.58,5.72,5.9,5.87,5.79,5.86
804,6.63,6.01,5.82,5.72,6,5.6
805,5.85,5.27,5.85,5.73,5.67,5.76
806,6.4,5.52,5.84,6.29,6.49,6.54
807,6.8,6.07,6.02,5.87,6.21,6.36
808,6.28,6.16,6.37,6.06,6.04,6.19
809,6.63,5.64,6.23,5.85,5.82,5.94
810,6.61,5.76,6.03,5.58,5.87,5.95
811,6.31,5.58,5.84,6.02,6.07,6.15
813,6.33,6.38,6.06,5.67,5.98,5.98
814,6.71,5.62,5.76,5.83,6,5.95
815,6.27,5.85,5.9,5.96,5.99,5.89
816,6.59,5.84,5.84,5.95,6.24,6.26
817,6.45,5.49,5.85,5.85,6.32,6.45
818,6.47,5.61,5.77,5.65,5.88,5.9
819,6.28,5.87,5.92,5.76,5.87,5.79
820,6.19,5.65,5.87,5.94,5.5,5.66
821,6.35,5.43,5.85,6.19,5.66,5.65
822,6.46,6.24,5.89,5.6,5.95,5.63
823,6.35,5.81,5.92,5.9,5.93,5.86
824,6.13,5.46,5.95,6.06,5.77,5.65
825,6.43,5.62,5.89,6.05,6.68,6.54
826,6.42,5.65,6.05,6.02,6.32,6.27
827,6.55,5.87,5.77,5.63,5.86,6
828,6.5,5.48,5.84,5.65,6.05,6.05
829,6.46,5.61,5.76,5.7,6.47,6.35
830,6.65,6.22,6.15,5.83,6.25,6.43
831,6.32,5.99,6.07,6.01,5.51,5.76
892,5.9,5.9,5.61,5.49,5.62,5.5
893,6.04,5.43,5.45,5.79,5.74,5.52
894,6.02,6.06,5.64,6.06,5.72,5.55
895,5.86,5.53,5.72,6.16,6,5.84
896,6.18,5.57,5.63,6.34,6.53,6.42
897,5.84,5.59,5.74,6.34,6.54,6.45
898,6.08,5.65,5.62,5.94,5.7,5.54
899,6.1,5.84,5.99,5.46,5.69,5.54
900,6.11,5.72,5.78,5.94,5.66,5.5
904,5.89,5.77,5.68,5.95,5.92,5.93
905,6,5.97,5.97,6.18,5.69,5.49
906,5.85,5.66,5.74,6.19,6.28,6.22
907,6.1,5.68,5.62,5.91,5.65,5.5
908,5.8,5.55,5.46,6.25,5.59,5.52
909,5.76,5.66,5.64,6.35,6.52,6.5
910,6.3,5.63,5.61,6.34,6.23,6.22
911,6.08,5.68,5.63,6.22,5.77,5.72
912,6.29,5.8,5.61,6.66,6.26,6.34
913,6.14,5.84,5.71,5.94,6.1,5.94
914,5.76,5.78,5.67,5.96,5.71,5.49
915,6.27,5.71,5.64,5.55,5.86,5.82
916,5.92,5.59,5.61,5.64,5.67,5.49
917,5.61,5.84,5.85,5.49,5.62,5.5
918,6.07,6.02,6.15,5.79,5.74,5.52
919,6.56,5.57,5.77,6.06,5.72,5.55
920,5.85,5.49,5.57,6.16,6,5.84
921,6.09,5.64,5.7,6.34,6.53,6.42
922,5.88,5.63,5.7,6.34,6.54,6.45
